?qlexid	?qp	?qo
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"a"	"aama:lexid"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:dervStem"	"aama:T"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:gloss"	"descend"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:lang"	"aama:geez"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:lemma"	"täwärd-ä"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:lexlabel"	"wrdT"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:pos"	"aama:verb"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:rootClass"	"aama:WCC"
"aama:ID46f34b92-b519-4766-8b88-f025916a97fd"	"aama:stemClass"	"aama:A1"
"aama:ID4aa0621a-27fd-4b00-a590-dd85582abce6"	"a"	"aama:lexid"
"aama:ID4aa0621a-27fd-4b00-a590-dd85582abce6"	"aama:dervStem"	"aama:T"
"aama:ID4aa0621a-27fd-4b00-a590-dd85582abce6"	"aama:gloss"	"go"
"aama:ID4aa0621a-27fd-4b00-a590-dd85582abce6"	"aama:lang"	"aama:geez"
"aama:ID4aa0621a-27fd-4b00-a590-dd85582abce6"	"aama:lemma"	"täkäyd-ä"
"aama:ID4aa0621a-27fd-4b00-a590-dd85582abce6"	"aama:lexlabel"	"kydT"
"aama:ID4aa0621a-27fd-4b00-a590-dd85582abce6"	"aama:pos"	"aama:verb"
"aama:ID4aa0621a-27fd-4b00-a590-dd85582abce6"	"aama:rootClass"	"aama:CYC"
"aama:ID4aa0621a-27fd-4b00-a590-dd85582abce6"	"aama:stemClass"	"aama:A"
"aama:ID51c64b84-7ab4-4c1b-b699-2d32fe240a79"	"a"	"aama:lexid"
"aama:ID51c64b84-7ab4-4c1b-b699-2d32fe240a79"	"aama:dervStem"	"aama:S"
"aama:ID51c64b84-7ab4-4c1b-b699-2d32fe240a79"	"aama:gloss"	"stand"
"aama:ID51c64b84-7ab4-4c1b-b699-2d32fe240a79"	"aama:lang"	"aama:geez"
"aama:ID51c64b84-7ab4-4c1b-b699-2d32fe240a79"	"aama:lemma"	"qom-ä"
"aama:ID51c64b84-7ab4-4c1b-b699-2d32fe240a79"	"aama:lexlabel"	"qwmS"
"aama:ID51c64b84-7ab4-4c1b-b699-2d32fe240a79"	"aama:pos"	"aama:verb"
"aama:ID51c64b84-7ab4-4c1b-b699-2d32fe240a79"	"aama:rootClass"	"aama:CWC"
"aama:ID51c64b84-7ab4-4c1b-b699-2d32fe240a79"	"aama:stemClass"	"aama:A"
"aama:ID52cf5962-06cb-4272-be8e-2c67089e37b3"	"a"	"aama:lexid"
"aama:ID52cf5962-06cb-4272-be8e-2c67089e37b3"	"aama:dervStem"	"aama:T"
"aama:ID52cf5962-06cb-4272-be8e-2c67089e37b3"	"aama:gloss"	"desolate"
"aama:ID52cf5962-06cb-4272-be8e-2c67089e37b3"	"aama:lang"	"aama:geez"
"aama:ID52cf5962-06cb-4272-be8e-2c67089e37b3"	"aama:lemma"	"täbädw-ä"
"aama:ID52cf5962-06cb-4272-be8e-2c67089e37b3"	"aama:lexlabel"	"bdwT"
"aama:ID52cf5962-06cb-4272-be8e-2c67089e37b3"	"aama:pos"	"aama:verb"
"aama:ID52cf5962-06cb-4272-be8e-2c67089e37b3"	"aama:rootClass"	"aama:CCW"
"aama:ID52cf5962-06cb-4272-be8e-2c67089e37b3"	"aama:stemClass"	"aama:A2"
"aama:ID530a02d2-a176-4598-9126-e20490640e06"	"a"	"aama:lexid"
"aama:ID530a02d2-a176-4598-9126-e20490640e06"	"aama:dervStem"	"aama:S"
"aama:ID530a02d2-a176-4598-9126-e20490640e06"	"aama:gloss"	"descend"
"aama:ID530a02d2-a176-4598-9126-e20490640e06"	"aama:lang"	"aama:geez"
"aama:ID530a02d2-a176-4598-9126-e20490640e06"	"aama:lemma"	"awräd-ä"
"aama:ID530a02d2-a176-4598-9126-e20490640e06"	"aama:lexlabel"	"wrdS"
"aama:ID530a02d2-a176-4598-9126-e20490640e06"	"aama:pos"	"aama:verb"
"aama:ID530a02d2-a176-4598-9126-e20490640e06"	"aama:rootClass"	"aama:WCC"
"aama:ID530a02d2-a176-4598-9126-e20490640e06"	"aama:stemClass"	"aama:A1"
"aama:ID59400520-d982-41f1-a493-a34e3c1bec09"	"a"	"aama:lexid"
"aama:ID59400520-d982-41f1-a493-a34e3c1bec09"	"aama:dervStem"	"aama:T"
"aama:ID59400520-d982-41f1-a493-a34e3c1bec09"	"aama:gloss"	"love"
"aama:ID59400520-d982-41f1-a493-a34e3c1bec09"	"aama:lang"	"aama:geez"
"aama:ID59400520-d982-41f1-a493-a34e3c1bec09"	"aama:lemma"	"täfätw-ä"
"aama:ID59400520-d982-41f1-a493-a34e3c1bec09"	"aama:lexlabel"	"ftwT"
"aama:ID59400520-d982-41f1-a493-a34e3c1bec09"	"aama:pos"	"aama:verb"
"aama:ID59400520-d982-41f1-a493-a34e3c1bec09"	"aama:rootClass"	"aama:CCW"
"aama:ID59400520-d982-41f1-a493-a34e3c1bec09"	"aama:stemClass"	"aama:A1"
"aama:ID6d5ba3b1-1fbb-4bd0-a272-350aeb2e6171"	"a"	"aama:lexid"
"aama:ID6d5ba3b1-1fbb-4bd0-a272-350aeb2e6171"	"aama:dervStem"	"aama:B"
"aama:ID6d5ba3b1-1fbb-4bd0-a272-350aeb2e6171"	"aama:gloss"	"desolate"
"aama:ID6d5ba3b1-1fbb-4bd0-a272-350aeb2e6171"	"aama:lang"	"aama:geez"
"aama:ID6d5ba3b1-1fbb-4bd0-a272-350aeb2e6171"	"aama:lemma"	"bädw-ä-bädo"
"aama:ID6d5ba3b1-1fbb-4bd0-a272-350aeb2e6171"	"aama:lexlabel"	"bdwB"
"aama:ID6d5ba3b1-1fbb-4bd0-a272-350aeb2e6171"	"aama:pos"	"aama:verb"
"aama:ID6d5ba3b1-1fbb-4bd0-a272-350aeb2e6171"	"aama:rootClass"	"aama:CCW"
"aama:ID6d5ba3b1-1fbb-4bd0-a272-350aeb2e6171"	"aama:stemClass"	"aama:A2"
"aama:ID7488d4f8-e4d4-4d10-9896-5b79c09429d5"	"a"	"aama:lexid"
"aama:ID7488d4f8-e4d4-4d10-9896-5b79c09429d5"	"aama:dervStem"	"aama:B"
"aama:ID7488d4f8-e4d4-4d10-9896-5b79c09429d5"	"aama:gloss"	"descend"
"aama:ID7488d4f8-e4d4-4d10-9896-5b79c09429d5"	"aama:lang"	"aama:geez"
"aama:ID7488d4f8-e4d4-4d10-9896-5b79c09429d5"	"aama:lemma"	"wäräd-ä"
"aama:ID7488d4f8-e4d4-4d10-9896-5b79c09429d5"	"aama:lexlabel"	"wrdB"
"aama:ID7488d4f8-e4d4-4d10-9896-5b79c09429d5"	"aama:pos"	"aama:verb"
"aama:ID7488d4f8-e4d4-4d10-9896-5b79c09429d5"	"aama:rootClass"	"aama:WCC"
"aama:ID7488d4f8-e4d4-4d10-9896-5b79c09429d5"	"aama:stemClass"	"aama:A1"
"aama:ID773b8d81-3ca4-42e8-95d3-d48d7aaf81ab"	"a"	"aama:lexid"
"aama:ID773b8d81-3ca4-42e8-95d3-d48d7aaf81ab"	"aama:dervStem"	"aama:St"
"aama:ID773b8d81-3ca4-42e8-95d3-d48d7aaf81ab"	"aama:gloss"	"finish"
"aama:ID773b8d81-3ca4-42e8-95d3-d48d7aaf81ab"	"aama:lang"	"aama:geez"
"aama:ID773b8d81-3ca4-42e8-95d3-d48d7aaf81ab"	"aama:lemma"	"astäfä?äm-ä"
"aama:ID773b8d81-3ca4-42e8-95d3-d48d7aaf81ab"	"aama:lexlabel"	"fs'mST"
"aama:ID773b8d81-3ca4-42e8-95d3-d48d7aaf81ab"	"aama:pos"	"aama:verb"
"aama:ID773b8d81-3ca4-42e8-95d3-d48d7aaf81ab"	"aama:rootClass"	"aama:CCC"
"aama:ID773b8d81-3ca4-42e8-95d3-d48d7aaf81ab"	"aama:stemClass"	"aama:D"
"aama:ID78d0e288-0ab1-44e1-8d56-3d3745a0d0fc"	"a"	"aama:lexid"
"aama:ID78d0e288-0ab1-44e1-8d56-3d3745a0d0fc"	"aama:dervStem"	"aama:T"
"aama:ID78d0e288-0ab1-44e1-8d56-3d3745a0d0fc"	"aama:gloss"	"pardon"
"aama:ID78d0e288-0ab1-44e1-8d56-3d3745a0d0fc"	"aama:lang"	"aama:geez"
"aama:ID78d0e288-0ab1-44e1-8d56-3d3745a0d0fc"	"aama:lemma"	"täsäry-ä"
"aama:ID78d0e288-0ab1-44e1-8d56-3d3745a0d0fc"	"aama:lexlabel"	"sryT"
"aama:ID78d0e288-0ab1-44e1-8d56-3d3745a0d0fc"	"aama:pos"	"aama:verb"
"aama:ID78d0e288-0ab1-44e1-8d56-3d3745a0d0fc"	"aama:rootClass"	"aama:CCY"
"aama:ID78d0e288-0ab1-44e1-8d56-3d3745a0d0fc"	"aama:stemClass"	"aama:A1"
"aama:ID7f3f4b2e-ebfb-4246-8ca0-5304a27484ae"	"a"	"aama:lexid"
"aama:ID7f3f4b2e-ebfb-4246-8ca0-5304a27484ae"	"aama:dervStem"	"aama:B"
"aama:ID7f3f4b2e-ebfb-4246-8ca0-5304a27484ae"	"aama:gloss"	"fall"
"aama:ID7f3f4b2e-ebfb-4246-8ca0-5304a27484ae"	"aama:lang"	"aama:geez"
"aama:ID7f3f4b2e-ebfb-4246-8ca0-5304a27484ae"	"aama:lemma"	"wädq-ä"
"aama:ID7f3f4b2e-ebfb-4246-8ca0-5304a27484ae"	"aama:lexlabel"	"wdqB"
"aama:ID7f3f4b2e-ebfb-4246-8ca0-5304a27484ae"	"aama:pos"	"aama:verb"
"aama:ID7f3f4b2e-ebfb-4246-8ca0-5304a27484ae"	"aama:rootClass"	"aama:WCC"
"aama:ID7f3f4b2e-ebfb-4246-8ca0-5304a27484ae"	"aama:stemClass"	"aama:A2"
"aama:ID811129b3-60f6-4751-b2d5-1854ba580c59"	"a"	"aama:lexid"
"aama:ID811129b3-60f6-4751-b2d5-1854ba580c59"	"aama:dervStem"	"aama:S"
"aama:ID811129b3-60f6-4751-b2d5-1854ba580c59"	"aama:gloss"	"love"
"aama:ID811129b3-60f6-4751-b2d5-1854ba580c59"	"aama:lang"	"aama:geez"
"aama:ID811129b3-60f6-4751-b2d5-1854ba580c59"	"aama:lemma"	"aftäw-ä"
"aama:ID811129b3-60f6-4751-b2d5-1854ba580c59"	"aama:lexlabel"	"ftwS"
"aama:ID811129b3-60f6-4751-b2d5-1854ba580c59"	"aama:pos"	"aama:verb"
"aama:ID811129b3-60f6-4751-b2d5-1854ba580c59"	"aama:rootClass"	"aama:CCW"
"aama:ID811129b3-60f6-4751-b2d5-1854ba580c59"	"aama:stemClass"	"aama:A1"
"aama:ID8191f58f-6f0c-4f6a-9a1d-89e30eafc6ab"	"a"	"aama:lexid"
"aama:ID8191f58f-6f0c-4f6a-9a1d-89e30eafc6ab"	"aama:dervStem"	"aama:St"
"aama:ID8191f58f-6f0c-4f6a-9a1d-89e30eafc6ab"	"aama:gloss"	"lend"
"aama:ID8191f58f-6f0c-4f6a-9a1d-89e30eafc6ab"	"aama:lang"	"aama:geez"
"aama:ID8191f58f-6f0c-4f6a-9a1d-89e30eafc6ab"	"aama:lemma"	"astäwäs-ä"
"aama:ID8191f58f-6f0c-4f6a-9a1d-89e30eafc6ab"	"aama:lexlabel"	"whsST"
"aama:ID8191f58f-6f0c-4f6a-9a1d-89e30eafc6ab"	"aama:pos"	"aama:verb"
"aama:ID8191f58f-6f0c-4f6a-9a1d-89e30eafc6ab"	"aama:rootClass"	"aama:WCC"
"aama:ID8191f58f-6f0c-4f6a-9a1d-89e30eafc6ab"	"aama:stemClass"	"aama:A1"
"aama:ID867040d9-457c-4b06-95c1-374ee34be1a8"	"a"	"aama:lexid"
"aama:ID867040d9-457c-4b06-95c1-374ee34be1a8"	"aama:dervStem"	"aama:S"
"aama:ID867040d9-457c-4b06-95c1-374ee34be1a8"	"aama:gloss"	"corrupt"
"aama:ID867040d9-457c-4b06-95c1-374ee34be1a8"	"aama:lang"	"aama:geez"
"aama:ID867040d9-457c-4b06-95c1-374ee34be1a8"	"aama:lemma"	"amasän-ä"
"aama:ID867040d9-457c-4b06-95c1-374ee34be1a8"	"aama:lexlabel"	"msnS"
"aama:ID867040d9-457c-4b06-95c1-374ee34be1a8"	"aama:pos"	"aama:verb"
"aama:ID867040d9-457c-4b06-95c1-374ee34be1a8"	"aama:rootClass"	"aama:CCC"
"aama:ID867040d9-457c-4b06-95c1-374ee34be1a8"	"aama:stemClass"	"aama:L"
"aama:ID926f7d49-1707-407f-94bf-9435552de30e"	"a"	"aama:lexid"
"aama:ID926f7d49-1707-407f-94bf-9435552de30e"	"aama:dervStem"	"aama:S"
"aama:ID926f7d49-1707-407f-94bf-9435552de30e"	"aama:gloss"	"clothe"
"aama:ID926f7d49-1707-407f-94bf-9435552de30e"	"aama:lang"	"aama:geez"
"aama:ID926f7d49-1707-407f-94bf-9435552de30e"	"aama:lemma"	"albäs-ä"
"aama:ID926f7d49-1707-407f-94bf-9435552de30e"	"aama:lexlabel"	"lbsS"
"aama:ID926f7d49-1707-407f-94bf-9435552de30e"	"aama:pos"	"aama:verb"
"aama:ID926f7d49-1707-407f-94bf-9435552de30e"	"aama:rootClass"	"aama:CCC"
"aama:ID926f7d49-1707-407f-94bf-9435552de30e"	"aama:stemClass"	"aama:A2"
"aama:ID9a3a0642-c76e-46f9-9435-56e8379af980"	"a"	"aama:lexid"
"aama:ID9a3a0642-c76e-46f9-9435-56e8379af980"	"aama:dervStem"	"aama:T"
"aama:ID9a3a0642-c76e-46f9-9435-56e8379af980"	"aama:gloss"	"speak"
"aama:ID9a3a0642-c76e-46f9-9435-56e8379af980"	"aama:lang"	"aama:geez"
"aama:ID9a3a0642-c76e-46f9-9435-56e8379af980"	"aama:lemma"	"tänägr-ä"
"aama:ID9a3a0642-c76e-46f9-9435-56e8379af980"	"aama:lexlabel"	"ngrT"
"aama:ID9a3a0642-c76e-46f9-9435-56e8379af980"	"aama:pos"	"aama:verb"
"aama:ID9a3a0642-c76e-46f9-9435-56e8379af980"	"aama:rootClass"	"aama:CCC"
"aama:ID9a3a0642-c76e-46f9-9435-56e8379af980"	"aama:stemClass"	"aama:A1"
"aama:ID9ccbc550-aa6c-47af-9a10-1975c6bead06"	"a"	"aama:lexid"
"aama:ID9ccbc550-aa6c-47af-9a10-1975c6bead06"	"aama:dervStem"	"aama:T"
"aama:ID9ccbc550-aa6c-47af-9a10-1975c6bead06"	"aama:gloss"	"fall"
"aama:ID9ccbc550-aa6c-47af-9a10-1975c6bead06"	"aama:lang"	"aama:geez"
"aama:ID9ccbc550-aa6c-47af-9a10-1975c6bead06"	"aama:lemma"	"täwädq-ä"
"aama:ID9ccbc550-aa6c-47af-9a10-1975c6bead06"	"aama:lexlabel"	"wdqT"
"aama:ID9ccbc550-aa6c-47af-9a10-1975c6bead06"	"aama:pos"	"aama:verb"
"aama:ID9ccbc550-aa6c-47af-9a10-1975c6bead06"	"aama:rootClass"	"aama:WCC"
"aama:ID9ccbc550-aa6c-47af-9a10-1975c6bead06"	"aama:stemClass"	"aama:A2"
"aama:ID9cfdb6a3-cd97-46dd-9998-2d8bfdb28c58"	"a"	"aama:lexid"
"aama:ID9cfdb6a3-cd97-46dd-9998-2d8bfdb28c58"	"aama:dervStem"	"aama:B"
"aama:ID9cfdb6a3-cd97-46dd-9998-2d8bfdb28c58"	"aama:gloss"	"finish"
"aama:ID9cfdb6a3-cd97-46dd-9998-2d8bfdb28c58"	"aama:lang"	"aama:geez"
"aama:ID9cfdb6a3-cd97-46dd-9998-2d8bfdb28c58"	"aama:lemma"	"fä?äm-ä"
"aama:ID9cfdb6a3-cd97-46dd-9998-2d8bfdb28c58"	"aama:lexlabel"	"fs'mB"
"aama:ID9cfdb6a3-cd97-46dd-9998-2d8bfdb28c58"	"aama:pos"	"aama:verb"
"aama:ID9cfdb6a3-cd97-46dd-9998-2d8bfdb28c58"	"aama:rootClass"	"aama:CCC"
"aama:ID9cfdb6a3-cd97-46dd-9998-2d8bfdb28c58"	"aama:stemClass"	"aama:D"
"aama:IDa1cc7305-13fc-4b67-80e9-999900e18503"	"a"	"aama:lexid"
"aama:IDa1cc7305-13fc-4b67-80e9-999900e18503"	"aama:dervStem"	"aama:St"
"aama:IDa1cc7305-13fc-4b67-80e9-999900e18503"	"aama:gloss"	"spend"
"aama:IDa1cc7305-13fc-4b67-80e9-999900e18503"	"aama:lang"	"aama:geez"
"aama:IDa1cc7305-13fc-4b67-80e9-999900e18503"	"aama:lemma"	"astäwä?ä"
"aama:IDa1cc7305-13fc-4b67-80e9-999900e18503"	"aama:lexlabel"	"wd''ST"
"aama:IDa1cc7305-13fc-4b67-80e9-999900e18503"	"aama:pos"	"aama:verb"
