?qlexid	?qp	?qo
"aama:ID848e5582-8623-45bf-87bc-ce810cd51bf2"	"a"	"aama:lexid"
"aama:ID848e5582-8623-45bf-87bc-ce810cd51bf2"	"aama:gloss"	"hit"
"aama:ID848e5582-8623-45bf-87bc-ce810cd51bf2"	"aama:lang"	"aama:dahalo"
"aama:ID848e5582-8623-45bf-87bc-ce810cd51bf2"	"aama:lemma"	"lub-"
"aama:ID848e5582-8623-45bf-87bc-ce810cd51bf2"	"aama:lexlabel"	"lub"
