?qlexid	?qp	?qo
"aama:IDa122cd34-7cd3-4bab-a5dc-af1532a52b32"	"a"	"aama:lexid"
"aama:IDa122cd34-7cd3-4bab-a5dc-af1532a52b32"	"aama:gloss"	"go"
"aama:IDa122cd34-7cd3-4bab-a5dc-af1532a52b32"	"aama:lang"	"aama:gedeo"
"aama:IDa122cd34-7cd3-4bab-a5dc-af1532a52b32"	"aama:lemma"	"mar-"
"aama:IDa122cd34-7cd3-4bab-a5dc-af1532a52b32"	"aama:lexlabel"	"mar"
