?num	?pers	?gen	?token
"Singular"	"Person1"	"Common"	"?a-danbíil"
"Singular"	"Person2"	"Masc"	"danbiil- `a"
"Singular"	"Person2"	"Fem"	"danbiil - `i"
"Singular"	"Person3"	"Masc"	"danbíil"
"Singular"	"Person3"	"Fem"	"danbíil"
"Plural"	"Person1"	"Common"	"n-eedbíl"
"Plural"	"Person2"	"Common"	"t-eedbil- `na"
"Plural"	"Person3"	"Common"	"?-eedbil- `na"
