?conjClass	?derivedStem	?derivedStemAug	?formType	?rootClass	?tamStemClass	?token
"Prefix"	"M"	"Simple"	"Stem"	"CCY"	"PastClass"	"-m-dagaay-"
"Prefix"	"M"	"Simple"	"Stem"	"CCY"	"PresClass"	"-m-dagi-"
"Prefix"	"M"	"Simple"	"Stem"	"CVC"	"AoristClass"	"-m-uu-liw-"
"Prefix"	"M"	"Simple"	"Stem"	"CVC"	"ModClass"	"-m-uu-liw-"
"Prefix"	"M"	"Simple"	"Stem"	"CVC"	"NegClass"	"-m-oo-liiw-"
"Prefix"	"M"	"Simple"	"Stem"	"CVC"	"PartClass"	"?am-oo-laaw-"
"Prefix"	"M"	"Simple"	"Stem"	"CVC"	"PastClass"	"-m-oo-laaw"
"Prefix"	"M"	"Simple"	"Stem"	"CVC"	"PresClass"	"-m-oo-liiw- "
"Prefix"	"R"	"Simple"	"Stem"	"CCC"	"AoristClass"	"-t-dibil-"
"Prefix"	"R"	"Simple"	"Stem"	"CCC"	"ModClass"	"-t-dibil-"
"Prefix"	"R"	"Simple"	"Stem"	"CCC"	"NegClass"	"-dbaal-"
"Prefix"	"R"	"Simple"	"Stem"	"CCC"	"PartClass"	"dibal-"
"Prefix"	"R"	"Simple"	"Stem"	"CCC"	"PastClass"	"-dbal-"
"Prefix"	"R"	"Simple"	"Stem"	"CCC"	"PresClass"	"-t-dabiil-"
"Prefix"	"R"	"Simple"	"Stem"	"CCY"	"AoristClass"	"-t-dig- "
"Prefix"	"R"	"Simple"	"Stem"	"CCY"	"ModClass"	"-t-diga-"
"Prefix"	"R"	"Simple"	"Stem"	"CCY"	"NegClass"	"-dgaay-"
"Prefix"	"R"	"Simple"	"Stem"	"CCY"	"PartClass"	"dige-"
"Prefix"	"R"	"Simple"	"Stem"	"CCY"	"PastClass"	"-dge-"
"Prefix"	"R"	"Simple"	"Stem"	"CCY"	"PresClass"	"-t-dagi-"
"Prefix"	"R"	"Simple"	"Stem"	"CVC"	"AoristClass"	"-ii-t-liw-"
"Prefix"	"R"	"Simple"	"Stem"	"CVC"	"ModClass"	"-ii-t-liw-"
"Prefix"	"R"	"Simple"	"Stem"	"CVC"	"NegClass"	"-laaw-"
"Prefix"	"R"	"Simple"	"Stem"	"CVC"	"PartClass"	"law-"
"Prefix"	"R"	"Simple"	"Stem"	"CVC"	"PastClass"	"-law-"
"Prefix"	"R"	"Simple"	"Stem"	"CVC"	"PresClass"	"-ee-t-liiw- "
"Prefix"	"S"	"Intensive"	"Stem"	"CCC"	"AoristClass"	"-s-diibal-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCC"	"ModClass"	"-s-diibal-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCC"	"NegClass"	"-s-daabiil-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCC"	"PartClass"	"si-daabl-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCC"	"PastClass"	"-s-daabil-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCC"	"PresClass"	"-s-daabiil-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCY"	"AoristClass"	"-s-diig-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCY"	"ModClass"	"-s-diiga-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCY"	"NegClass"	"-s-daagi-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCY"	"PartClass"	"si-daag-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCY"	"PastClass"	"-s-daag-"
"Prefix"	"S"	"Intensive"	"Stem"	"CCY"	"PresClass"	"-s-daagi-"
"Prefix"	"S"	"Intensive"	"Stem"	"CVC"	"AoristClass"	"⊤"
"Prefix"	"S"	"Intensive"	"Stem"	"CVC"	"ModClass"	"⊤"
"Prefix"	"S"	"Intensive"	"Stem"	"CVC"	"NegClass"	"⊤"
"Prefix"	"S"	"Intensive"	"Stem"	"CVC"	"PartClass"	"⊤"
