?langLabel	?conjClass	?conjType	?derivedStem	?derivedStemAug	?formType	?lexnote	?nonFiniteForm	?participle	?pdgmType	?polarity	?rootClass	?tam	?tamStemClass	?token
"Beja-arteiga"	"Prefix"		"S2"	"Simple"					"Structure"		"CVC"			"-sisoo-bis-"
"Beja-arteiga"	"Prefix"		"SM"	"Intensive"					"Structure"		"CCC"			"-m-dalaab-"
"Beja-arteiga"	"Prefix"		"SM"	"Intensive"					"Structure"		"CCC"			"-m-ragaag-"
"Beja-arteiga"	"Prefix"		"SM"	"Intensive"					"Structure"		"CCY"			"-m-dagaay-"
"Beja-arteiga"	"Prefix"		"SM"	"Intensive"					"Structure"		"CVC"			"-moo-daar-"
"Beja-arteiga"	"Prefix"		"SM"	"Intensive"					"Structure"		"CVC"			"-moo-gaad-"
"Beja-arteiga"	"Prefix"		"SM"	"Intensive"					"Structure"		"CVC"			"-moo-baas-"
"Beja-arteiga"	"Prefix"		"SM"	"Intensive"					"Structure"		"CVC"			"-moo-taab-"
"Beja-arteiga"	"Prefix"		"SM"	"Intensive"					"Structure"		"CVC"			"-moo-maan-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CCC"			"-t-kataab-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CCC"			"-š-t-agwaad-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CCC"			"-t-dabaal-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CCC"			"-t-kahaan-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CCC"			"-t-faraak-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CCY"			"-t-faraay-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CCY"			"-t-habaay-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CCY"			"-t-dagaay-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CVC"			"-too-daaf-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CVC"			"-too-daar-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CVC"			"-too-maan-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CVC"			"-too-šaak-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"					"Structure"		"CVC"			"-too-baas-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCC"		"AoristClass"	"-t-diibil-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCC"		"ModClass"	"-t-diibil-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCC"		"NegClass"	"-t-daabiil-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCC"		"PartClass"	"?at-daab(aa)l-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCC"		"PastClass"	"⊤"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCC"		"PresClass"	"-t-daabiil-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCY"		"AoristClass"	"-t-daagi-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCY"		"ModClass"	"-t-daaga-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCY"		"NegClass"	"-t-daagi-"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCY"		"PartClass"	"?at-daag(aa)y"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCY"		"PastClass"	"⊤"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CCY"		"PresClass"	"-t-daagi- "
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CVC"		"AoristClass"	"⊤"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CVC"		"ModClass"	"⊤"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CVC"		"NegClass"	"⊤"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CVC"		"PartClass"	"⊤"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CVC"		"PastClass"	"⊤"
"Beja-arteiga"	"Prefix"		"T"	"Intensive"	"Stem"						"CVC"		"PresClass"	"⊤"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCC"		"AoristClass"	"-t-dibil-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCC"		"ModClass"	"-t-dibil-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCC"		"NegClass"	"-t-dabiil-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCC"		"PartClass"	"?at-dab[aa]l-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCC"		"PastClass"	"-t-dabaal-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCC"		"PresClass"	"-t-dabiil- "
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCY"		"AoristClass"	"-t-dig-"
