?num	?pers	?gen	?token
"Singular"	"Person1"	"Common"	"bà-?-iibís"
"Singular"	"Person2"	"Masc"	"bà-t-iibis-`a"
"Singular"	"Person2"	"Fem"	"bà-t-iibis-`i"
"Singular"	"Person3"	"Masc"	"bà-?-iibís"
"Singular"	"Person3"	"Fem"	"bà-t-iibís"
"Plural"	"Person1"	"Common"	"bà-n-iibís"
"Plural"	"Person2"	"Common"	"bà-t-iibis-`na"
"Plural"	"Person3"	"Common"	"bà-?-iibis-`na"
