?qlexid	?qp	?qo
"aama:IDa1745fe9-355f-4836-9719-31f6da26e1d2"	"aama:pos"	"aama:verb"
"aama:IDa1745fe9-355f-4836-9719-31f6da26e1d2"	"aama:transitivity"	"aama:trans"
"aama:IDb07e87ae-3663-4f01-bfd5-61ef87fc657d"	"a"	"aama:lexid"
"aama:IDb07e87ae-3663-4f01-bfd5-61ef87fc657d"	"aama:gloss"	"do"
"aama:IDb07e87ae-3663-4f01-bfd5-61ef87fc657d"	"aama:lang"	"aama:coptic"
"aama:IDb07e87ae-3663-4f01-bfd5-61ef87fc657d"	"aama:langVar"	"aama:sahidic"
"aama:IDb07e87ae-3663-4f01-bfd5-61ef87fc657d"	"aama:lemma"	"ⲉⲓⲣⲉ"
"aama:IDb07e87ae-3663-4f01-bfd5-61ef87fc657d"	"aama:lexlabel"	"eire"
"aama:IDb07e87ae-3663-4f01-bfd5-61ef87fc657d"	"aama:pos"	"aama:verb"
"aama:IDb07e87ae-3663-4f01-bfd5-61ef87fc657d"	"aama:transitivity"	"aama:trans"
"aama:IDb269dcbf-1767-4ac7-9582-5d8367769d5a"	"a"	"aama:lexid"
"aama:IDb269dcbf-1767-4ac7-9582-5d8367769d5a"	"aama:gloss"	"hide"
"aama:IDb269dcbf-1767-4ac7-9582-5d8367769d5a"	"aama:lang"	"aama:coptic"
"aama:IDb269dcbf-1767-4ac7-9582-5d8367769d5a"	"aama:langVar"	"aama:sahidic"
"aama:IDb269dcbf-1767-4ac7-9582-5d8367769d5a"	"aama:lemma"	"ϩⲱⲡ"
"aama:IDb269dcbf-1767-4ac7-9582-5d8367769d5a"	"aama:lexlabel"	"hop"
"aama:IDb269dcbf-1767-4ac7-9582-5d8367769d5a"	"aama:pos"	"aama:verb"
"aama:IDb269dcbf-1767-4ac7-9582-5d8367769d5a"	"aama:transitivity"	"aama:trans"
"aama:IDc4ecc39b-9e4b-4851-873c-39f9816d0bf3"	"a"	"aama:lexid"
"aama:IDc4ecc39b-9e4b-4851-873c-39f9816d0bf3"	"aama:gloss"	"inform"
"aama:IDc4ecc39b-9e4b-4851-873c-39f9816d0bf3"	"aama:lang"	"aama:coptic"
