?qlexid	?qp	?qo
"aama:IDbb7217ff-2759-4ba3-9d10-08b6a02b17c3"	"a"	"aama:lexid"
"aama:IDbb7217ff-2759-4ba3-9d10-08b6a02b17c3"	"aama:gloss"	"take"
"aama:IDbb7217ff-2759-4ba3-9d10-08b6a02b17c3"	"aama:lang"	"aama:hadiyya"
"aama:IDbb7217ff-2759-4ba3-9d10-08b6a02b17c3"	"aama:lemma"	"mass-"
"aama:IDbb7217ff-2759-4ba3-9d10-08b6a02b17c3"	"aama:lexlabel"	"mass"
