?pdgmlabel	?prop1	?val1
"wolaytta-VCompAffIndicPastDubit-oott"	"complement"	"compound"
"wolaytta-VCompAffIndicPastDubit-oott"	"gender"	"f"
"wolaytta-VCompAffIndicPastDubit-oott"	"gender"	"m"
"wolaytta-VCompAffIndicPastDubit-oott"	"gender"	"⊤"
"wolaytta-VCompAffIndicPastDubit-oott"	"mood"	"indicative"
"wolaytta-VCompAffIndicPastDubit-oott"	"ns#type"	"Term"
"wolaytta-VCompAffIndicPastDubit-oott"	"number"	"pl"
"wolaytta-VCompAffIndicPastDubit-oott"	"number"	"sg"
"wolaytta-VCompAffIndicPastDubit-oott"	"person"	"p1"
"wolaytta-VCompAffIndicPastDubit-oott"	"person"	"p2"
"wolaytta-VCompAffIndicPastDubit-oott"	"person"	"p3"
"wolaytta-VCompAffIndicPastDubit-oott"	"polarity"	"affirmative"
"wolaytta-VCompAffIndicPastDubit-oott"	"pos"	"verb"
"wolaytta-VCompAffIndicPastDubit-oott"	"tam"	"pastDubitative"
"wolaytta-VSmplAffIndicAorProgr-utt"	"complement"	"simple"
"wolaytta-VSmplAffIndicAorProgr-utt"	"gender"	"f"
"wolaytta-VSmplAffIndicAorProgr-utt"	"gender"	"m"
"wolaytta-VSmplAffIndicAorProgr-utt"	"gender"	"⊤"
"wolaytta-VSmplAffIndicAorProgr-utt"	"mood"	"indicative"
"wolaytta-VSmplAffIndicAorProgr-utt"	"ns#type"	"Term"
"wolaytta-VSmplAffIndicAorProgr-utt"	"number"	"pl"
"wolaytta-VSmplAffIndicAorProgr-utt"	"number"	"sg"
"wolaytta-VSmplAffIndicAorProgr-utt"	"person"	"p1"
"wolaytta-VSmplAffIndicAorProgr-utt"	"person"	"p2"
"wolaytta-VSmplAffIndicAorProgr-utt"	"person"	"p3"
"wolaytta-VSmplAffIndicAorProgr-utt"	"polarity"	"affirmative"
"wolaytta-VSmplAffIndicAorProgr-utt"	"pos"	"verb"
"wolaytta-VSmplAffIndicAorProgr-utt"	"tam"	"aoristProgressive"
"wolaytta-VCompAffPotentialAor-oott"	"complement"	"compound"
"wolaytta-VCompAffPotentialAor-oott"	"gender"	"f"
"wolaytta-VCompAffPotentialAor-oott"	"gender"	"m"
"wolaytta-VCompAffPotentialAor-oott"	"gender"	"⊤"
"wolaytta-VCompAffPotentialAor-oott"	"mood"	"potential"
"wolaytta-VCompAffPotentialAor-oott"	"ns#type"	"Term"
"wolaytta-VCompAffPotentialAor-oott"	"number"	"pl"
"wolaytta-VCompAffPotentialAor-oott"	"number"	"sg"
"wolaytta-VCompAffPotentialAor-oott"	"person"	"p1"
"wolaytta-VCompAffPotentialAor-oott"	"person"	"p2"
"wolaytta-VCompAffPotentialAor-oott"	"person"	"p3"
"wolaytta-VCompAffPotentialAor-oott"	"polarity"	"affirmative"
"wolaytta-VCompAffPotentialAor-oott"	"pos"	"verb"
"wolaytta-VCompAffPotentialAor-oott"	"tam"	"aorist"
"wolaytta-VCompAffPotentialPast-oott"	"complement"	"compound"
"wolaytta-VCompAffPotentialPast-oott"	"gender"	"f"
"wolaytta-VCompAffPotentialPast-oott"	"gender"	"m"
"wolaytta-VCompAffPotentialPast-oott"	"gender"	"⊤"
"wolaytta-VCompAffPotentialPast-oott"	"mood"	"potential"
"wolaytta-VCompAffPotentialPast-oott"	"ns#type"	"Term"
"wolaytta-VCompAffPotentialPast-oott"	"number"	"pl"
"wolaytta-VCompAffPotentialPast-oott"	"number"	"sg"
"wolaytta-VCompAffPotentialPast-oott"	"person"	"p1"
"wolaytta-VCompAffPotentialPast-oott"	"person"	"p2"
"wolaytta-VCompAffPotentialPast-oott"	"person"	"p3"
"wolaytta-VCompAffPotentialPast-oott"	"polarity"	"affirmative"
"wolaytta-VCompAffPotentialPast-oott"	"pos"	"verb"
"wolaytta-VCompAffPotentialPast-oott"	"tam"	"past"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"complement"	"compound"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"gender"	"⊤"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"mood"	"indicative"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"ns#type"	"Term"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"number"	"sg"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"person"	"p1"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"polarity"	"affirmative"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"pos"	"verb"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"tam"	"pastIngressive"
"wolaytta-VCompAffIndicPastIngrMonoradical-b"	"verbMorphClass"	"monoradical"
"wolaytta-VCompNegDesidAor-oott"	"complement"	"compound"
"wolaytta-VCompNegDesidAor-oott"	"gender"	"f"
"wolaytta-VCompNegDesidAor-oott"	"gender"	"m"
"wolaytta-VCompNegDesidAor-oott"	"gender"	"⊤"
"wolaytta-VCompNegDesidAor-oott"	"mood"	"desiderative"
"wolaytta-VCompNegDesidAor-oott"	"ns#type"	"Term"
"wolaytta-VCompNegDesidAor-oott"	"number"	"pl"
"wolaytta-VCompNegDesidAor-oott"	"number"	"sg"
"wolaytta-VCompNegDesidAor-oott"	"person"	"p1"
"wolaytta-VCompNegDesidAor-oott"	"person"	"p2"
"wolaytta-VCompNegDesidAor-oott"	"person"	"p3"
"wolaytta-VCompNegDesidAor-oott"	"polarity"	"negative"
"wolaytta-VCompNegDesidAor-oott"	"pos"	"verb"
"wolaytta-VCompNegDesidAor-oott"	"tam"	"aorist"
"wolaytta-VSmplAffRelPerf-maadd"	"complement"	"simple"
"wolaytta-VSmplAffRelPerf-maadd"	"gender"	"f"
"wolaytta-VSmplAffRelPerf-maadd"	"gender"	"m"
"wolaytta-VSmplAffRelPerf-maadd"	"gender"	"⊤"
"wolaytta-VSmplAffRelPerf-maadd"	"mood"	"relative"
"wolaytta-VSmplAffRelPerf-maadd"	"ns#type"	"Term"
"wolaytta-VSmplAffRelPerf-maadd"	"number"	"pl"
"wolaytta-VSmplAffRelPerf-maadd"	"number"	"sg"
"wolaytta-VSmplAffRelPerf-maadd"	"person"	"p1"
"wolaytta-VSmplAffRelPerf-maadd"	"person"	"p2"
"wolaytta-VSmplAffRelPerf-maadd"	"person"	"p3"
"wolaytta-VSmplAffRelPerf-maadd"	"polarity"	"affirmative"
"wolaytta-VSmplAffRelPerf-maadd"	"pos"	"verb"
"wolaytta-VSmplAffRelPerf-maadd"	"tam"	"perfect"
"wolaytta-VSmplNegInterrJuss-oott"	"complement"	"simple"
"wolaytta-VSmplNegInterrJuss-oott"	"gender"	"f"
"wolaytta-VSmplNegInterrJuss-oott"	"gender"	"m"
"wolaytta-VSmplNegInterrJuss-oott"	"gender"	"⊤"
"wolaytta-VSmplNegInterrJuss-oott"	"mood"	"interrogative"
"wolaytta-VSmplNegInterrJuss-oott"	"ns#type"	"Term"
"wolaytta-VSmplNegInterrJuss-oott"	"number"	"pl"
"wolaytta-VSmplNegInterrJuss-oott"	"number"	"sg"
"wolaytta-VSmplNegInterrJuss-oott"	"person"	"p1"
"wolaytta-VSmplNegInterrJuss-oott"	"person"	"p2"
"wolaytta-VSmplNegInterrJuss-oott"	"person"	"p3"
"wolaytta-VSmplNegInterrJuss-oott"	"polarity"	"negative"
"wolaytta-VSmplNegInterrJuss-oott"	"pos"	"verb"
"wolaytta-VSmplNegInterrJuss-oott"	"tam"	"jussive"
"wolaytta-VSmplNegHypothPres-oott"	"complement"	"simple"
"wolaytta-VSmplNegHypothPres-oott"	"gender"	"f"
"wolaytta-VSmplNegHypothPres-oott"	"gender"	"m"
"wolaytta-VSmplNegHypothPres-oott"	"gender"	"⊤"
"wolaytta-VSmplNegHypothPres-oott"	"mood"	"hypothetical"
"wolaytta-VSmplNegHypothPres-oott"	"ns#type"	"Term"
"wolaytta-VSmplNegHypothPres-oott"	"number"	"pl"
"wolaytta-VSmplNegHypothPres-oott"	"number"	"sg"
"wolaytta-VSmplNegHypothPres-oott"	"person"	"p1"
"wolaytta-VSmplNegHypothPres-oott"	"person"	"p2"
"wolaytta-VSmplNegHypothPres-oott"	"person"	"p3"
"wolaytta-VSmplNegHypothPres-oott"	"polarity"	"negative"
"wolaytta-VSmplNegHypothPres-oott"	"pos"	"verb"
"wolaytta-VSmplNegHypothPres-oott"	"tam"	"present"
"wolaytta-VCompAffIndicPresIngr-oott"	"complement"	"compound"
"wolaytta-VCompAffIndicPresIngr-oott"	"gender"	"f"
"wolaytta-VCompAffIndicPresIngr-oott"	"gender"	"m"
"wolaytta-VCompAffIndicPresIngr-oott"	"gender"	"⊤"
"wolaytta-VCompAffIndicPresIngr-oott"	"mood"	"indicative"
"wolaytta-VCompAffIndicPresIngr-oott"	"ns#type"	"Term"
"wolaytta-VCompAffIndicPresIngr-oott"	"number"	"pl"
"wolaytta-VCompAffIndicPresIngr-oott"	"number"	"sg"
"wolaytta-VCompAffIndicPresIngr-oott"	"person"	"p1"
"wolaytta-VCompAffIndicPresIngr-oott"	"person"	"p2"
"wolaytta-VCompAffIndicPresIngr-oott"	"person"	"p3"
"wolaytta-VCompAffIndicPresIngr-oott"	"polarity"	"affirmative"
"wolaytta-VCompAffIndicPresIngr-oott"	"pos"	"verb"
"wolaytta-VCompAffIndicPresIngr-oott"	"tam"	"presentIngressive"
"wolaytta-VSmplAffInterrPast-oott"	"complement"	"simple"
"wolaytta-VSmplAffInterrPast-oott"	"gender"	"f"
"wolaytta-VSmplAffInterrPast-oott"	"gender"	"m"
"wolaytta-VSmplAffInterrPast-oott"	"gender"	"⊤"
"wolaytta-VSmplAffInterrPast-oott"	"mood"	"interrogative"
"wolaytta-VSmplAffInterrPast-oott"	"ns#type"	"Term"
"wolaytta-VSmplAffInterrPast-oott"	"number"	"pl"
"wolaytta-VSmplAffInterrPast-oott"	"number"	"sg"
"wolaytta-VSmplAffInterrPast-oott"	"person"	"p1"
