?qlexid	?qp	?qo
"aama:ID685442ce-f2af-4283-aa4b-34fc3002bb2f"	"aama:lemma"	"et-"
"aama:ID685442ce-f2af-4283-aa4b-34fc3002bb2f"	"aama:lexlabel"	"et"
"aama:ID685442ce-f2af-4283-aa4b-34fc3002bb2f"	"aama:pos"	"aama:verb"
"aama:ID7c4162b0-8b56-4e40-9621-47fad8ebeedb"	"a"	"aama:lexid"
"aama:ID7c4162b0-8b56-4e40-9621-47fad8ebeedb"	"aama:conjClass"	"aama:conj3"
"aama:ID7c4162b0-8b56-4e40-9621-47fad8ebeedb"	"aama:gloss"	"sit"
"aama:ID7c4162b0-8b56-4e40-9621-47fad8ebeedb"	"aama:lang"	"aama:yemsa"
"aama:ID7c4162b0-8b56-4e40-9621-47fad8ebeedb"	"aama:lemma"	"key-"
"aama:ID7c4162b0-8b56-4e40-9621-47fad8ebeedb"	"aama:lexlabel"	"key"
"aama:ID7c4162b0-8b56-4e40-9621-47fad8ebeedb"	"aama:pos"	"aama:verb"
"aama:ID8df4d62b-4a19-43d5-8838-33fffdd38d33"	"a"	"aama:lexid"
"aama:ID8df4d62b-4a19-43d5-8838-33fffdd38d33"	"aama:conjClass"	"aama:conj1"
"aama:ID8df4d62b-4a19-43d5-8838-33fffdd38d33"	"aama:gloss"	"eat (honorific forms"
"aama:ID8df4d62b-4a19-43d5-8838-33fffdd38d33"	"aama:lang"	"aama:yemsa"
"aama:ID8df4d62b-4a19-43d5-8838-33fffdd38d33"	"aama:lemma"	"tar'- ~ ta'-"
"aama:ID8df4d62b-4a19-43d5-8838-33fffdd38d33"	"aama:lexlabel"	"tar'"
"aama:ID8df4d62b-4a19-43d5-8838-33fffdd38d33"	"aama:pos"	"aama:verb"
"aama:ID9b5f7fec-f142-4ac7-9cf9-07813ad4ce50"	"a"	"aama:lexid"
"aama:ID9b5f7fec-f142-4ac7-9cf9-07813ad4ce50"	"aama:conjClass"	"aama:conj3"
"aama:ID9b5f7fec-f142-4ac7-9cf9-07813ad4ce50"	"aama:gloss"	"make"
"aama:ID9b5f7fec-f142-4ac7-9cf9-07813ad4ce50"	"aama:lang"	"aama:yemsa"
"aama:ID9b5f7fec-f142-4ac7-9cf9-07813ad4ce50"	"aama:lemma"	"zag-"
"aama:ID9b5f7fec-f142-4ac7-9cf9-07813ad4ce50"	"aama:lexlabel"	""
"aama:ID9b5f7fec-f142-4ac7-9cf9-07813ad4ce50"	"aama:pos"	"aama:verb"
"aama:IDa82de878-dd93-4114-b2a3-1f2aed4644d4"	"a"	"aama:lexid"
"aama:IDa82de878-dd93-4114-b2a3-1f2aed4644d4"	"aama:conjClass"	"aama:conj2"
"aama:IDa82de878-dd93-4114-b2a3-1f2aed4644d4"	"aama:gloss"	"want"
"aama:IDa82de878-dd93-4114-b2a3-1f2aed4644d4"	"aama:lang"	"aama:yemsa"
"aama:IDa82de878-dd93-4114-b2a3-1f2aed4644d4"	"aama:lemma"	"shol-"
"aama:IDa82de878-dd93-4114-b2a3-1f2aed4644d4"	"aama:lexlabel"	"shol"
"aama:IDa82de878-dd93-4114-b2a3-1f2aed4644d4"	"aama:pos"	"aama:verb"
"aama:IDc14f4806-a48c-418c-bfc5-13a4a9421915"	"a"	"aama:lexid"
"aama:IDc14f4806-a48c-418c-bfc5-13a4a9421915"	"aama:conjClass"	"aama:conj2"
"aama:IDc14f4806-a48c-418c-bfc5-13a4a9421915"	"aama:gloss"	"come (honorific forms)"
"aama:IDc14f4806-a48c-418c-bfc5-13a4a9421915"	"aama:lang"	"aama:yemsa"
"aama:IDc14f4806-a48c-418c-bfc5-13a4a9421915"	"aama:lemma"	"of-"
"aama:IDc14f4806-a48c-418c-bfc5-13a4a9421915"	"aama:lexlabel"	"of"
"aama:IDc14f4806-a48c-418c-bfc5-13a4a9421915"	"aama:pos"	"aama:verb"
"aama:IDd3c65f7f-49c8-463e-92fa-9e8c0ec438d8"	"a"	"aama:lexid"
"aama:IDd3c65f7f-49c8-463e-92fa-9e8c0ec438d8"	"aama:conjClass"	"aama:conj3"
"aama:IDd3c65f7f-49c8-463e-92fa-9e8c0ec438d8"	"aama:gloss"	"eat (non-honorific forms)"
"aama:IDd3c65f7f-49c8-463e-92fa-9e8c0ec438d8"	"aama:lang"	"aama:yemsa"
"aama:IDd3c65f7f-49c8-463e-92fa-9e8c0ec438d8"	"aama:lemma"	"ma-"
"aama:IDd3c65f7f-49c8-463e-92fa-9e8c0ec438d8"	"aama:lexlabel"	"ma"
"aama:IDd3c65f7f-49c8-463e-92fa-9e8c0ec438d8"	"aama:pos"	"aama:verb"
"aama:IDd3c65f7f-49c8-463e-92fa-9e8c0ec438d8"	"aama:templ"	"aama:monosyllabic"
"aama:IDef405f35-163b-4d76-874c-d63b0072774a"	"a"	"aama:lexid"
"aama:IDef405f35-163b-4d76-874c-d63b0072774a"	"aama:conjClass"	"aama:conj3"
"aama:IDef405f35-163b-4d76-874c-d63b0072774a"	"aama:gloss"	"sit"
"aama:IDef405f35-163b-4d76-874c-d63b0072774a"	"aama:lang"	"aama:yemsa"
"aama:IDef405f35-163b-4d76-874c-d63b0072774a"	"aama:lemma"	"di-"
"aama:IDef405f35-163b-4d76-874c-d63b0072774a"	"aama:lexlabel"	"di"
"aama:IDef405f35-163b-4d76-874c-d63b0072774a"	"aama:pos"	"aama:verb"
"aama:IDef405f35-163b-4d76-874c-d63b0072774a"	"aama:templ"	"aama:monosyllabic"
