?qlexid	?qp	?qo
"aama:ID94b2f86c-65cb-4e5d-93a9-0f4c2b3ab9b6"	"aama:lexlabel"	"danday"
"aama:ID94b2f86c-65cb-4e5d-93a9-0f4c2b3ab9b6"	"aama:pos"	"aama:verb"
"aama:ID94b2f86c-65cb-4e5d-93a9-0f4c2b3ab9b6"	"aama:vClass"	"aama:aux"
"aama:IDb38f3e98-8f8f-4e58-80b4-ce6705842dd9"	"a"	"aama:lexid"
"aama:IDb38f3e98-8f8f-4e58-80b4-ce6705842dd9"	"aama:gloss"	"refuse"
"aama:IDb38f3e98-8f8f-4e58-80b4-ce6705842dd9"	"aama:lang"	"aama:wolaytta"
"aama:IDb38f3e98-8f8f-4e58-80b4-ce6705842dd9"	"aama:lemma"	"ʔitt'-"
"aama:IDb38f3e98-8f8f-4e58-80b4-ce6705842dd9"	"aama:lexlabel"	"'itt'"
"aama:IDb38f3e98-8f8f-4e58-80b4-ce6705842dd9"	"aama:pos"	"aama:verb"
"aama:IDb38f3e98-8f8f-4e58-80b4-ce6705842dd9"	"aama:vClass"	"aama:aux"
"aama:IDb59b9df4-9091-46d0-b4da-42273ec16f6b"	"a"	"aama:lexid"
"aama:IDb59b9df4-9091-46d0-b4da-42273ec16f6b"	"aama:gloss"	"get lost"
"aama:IDb59b9df4-9091-46d0-b4da-42273ec16f6b"	"aama:lang"	"aama:wolaytta"
"aama:IDb59b9df4-9091-46d0-b4da-42273ec16f6b"	"aama:lemma"	"t'ay-"
"aama:IDb59b9df4-9091-46d0-b4da-42273ec16f6b"	"aama:lexlabel"	"t'ay"
"aama:IDb59b9df4-9091-46d0-b4da-42273ec16f6b"	"aama:pos"	"aama:verb"
"aama:IDb59b9df4-9091-46d0-b4da-42273ec16f6b"	"aama:vClass"	"aama:aux"
"aama:IDd0d1bdc5-8d58-4b17-8a07-89dc72c5fa8c"	"a"	"aama:lexid"
"aama:IDd0d1bdc5-8d58-4b17-8a07-89dc72c5fa8c"	"aama:gloss"	"work"
"aama:IDd0d1bdc5-8d58-4b17-8a07-89dc72c5fa8c"	"aama:lang"	"aama:wolaytta"
"aama:IDd0d1bdc5-8d58-4b17-8a07-89dc72c5fa8c"	"aama:lemma"	"ott-"
"aama:IDd0d1bdc5-8d58-4b17-8a07-89dc72c5fa8c"	"aama:lexlabel"	"ott"
"aama:IDd0d1bdc5-8d58-4b17-8a07-89dc72c5fa8c"	"aama:pos"	"aama:verb"
"aama:IDd37fc17f-01fe-47e2-b855-937aeb88d45c"	"a"	"aama:lexid"
"aama:IDd37fc17f-01fe-47e2-b855-937aeb88d45c"	"aama:gloss"	"begin"
