?qlexid	?qp	?qo
"aama:ID4aa9e2f9-d521-401a-8511-389e18484760"	"aama:rootClass"	"aama:nCC"
"aama:ID536e5e48-d8ed-4be3-834a-1ff92cccdbe5"	"a"	"aama:lexid"
"aama:ID536e5e48-d8ed-4be3-834a-1ff92cccdbe5"	"aama:gloss"	"stand"
"aama:ID536e5e48-d8ed-4be3-834a-1ff92cccdbe5"	"aama:lang"	"aama:hebrew"
"aama:ID536e5e48-d8ed-4be3-834a-1ff92cccdbe5"	"aama:lemma"	"ʕmd"
"aama:ID536e5e48-d8ed-4be3-834a-1ff92cccdbe5"	"aama:lexlabel"	"`md"
"aama:ID536e5e48-d8ed-4be3-834a-1ff92cccdbe5"	"aama:pos"	"aama:verb"
"aama:ID536e5e48-d8ed-4be3-834a-1ff92cccdbe5"	"aama:rootClass"	"aama:hCC"
"aama:ID5e1b63b8-c2ee-4448-b004-1ba5dccc54d7"	"a"	"aama:lexid"
"aama:ID5e1b63b8-c2ee-4448-b004-1ba5dccc54d7"	"aama:gloss"	"go around"
"aama:ID5e1b63b8-c2ee-4448-b004-1ba5dccc54d7"	"aama:lang"	"aama:hebrew"
"aama:ID5e1b63b8-c2ee-4448-b004-1ba5dccc54d7"	"aama:lemma"	"sbb"
"aama:ID5e1b63b8-c2ee-4448-b004-1ba5dccc54d7"	"aama:lexlabel"	"sbb"
"aama:ID5e1b63b8-c2ee-4448-b004-1ba5dccc54d7"	"aama:pos"	"aama:verb"
"aama:ID5e1b63b8-c2ee-4448-b004-1ba5dccc54d7"	"aama:rootClass"	"aama:C1C2C2"
"aama:ID6f93bb84-e46d-4a04-833f-797309c464eb"	"a"	"aama:lexid"
"aama:ID6f93bb84-e46d-4a04-833f-797309c464eb"	"aama:gloss"	"touch"
"aama:ID6f93bb84-e46d-4a04-833f-797309c464eb"	"aama:lang"	"aama:hebrew"
"aama:ID6f93bb84-e46d-4a04-833f-797309c464eb"	"aama:lemma"	"ngʕ"
"aama:ID6f93bb84-e46d-4a04-833f-797309c464eb"	"aama:lexlabel"	"ng`"
"aama:ID6f93bb84-e46d-4a04-833f-797309c464eb"	"aama:pos"	"aama:verb"
"aama:ID6f93bb84-e46d-4a04-833f-797309c464eb"	"aama:rootClass"	"aama:nCC"
"aama:ID74d52928-bdc4-4110-930f-484d4799067b"	"a"	"aama:lexid"
"aama:ID74d52928-bdc4-4110-930f-484d4799067b"	"aama:gloss"	"eat"
"aama:ID74d52928-bdc4-4110-930f-484d4799067b"	"aama:lang"	"aama:hebrew"
"aama:ID74d52928-bdc4-4110-930f-484d4799067b"	"aama:lemma"	"ʔkl"
"aama:ID74d52928-bdc4-4110-930f-484d4799067b"	"aama:lexlabel"	"'kl"
"aama:ID74d52928-bdc4-4110-930f-484d4799067b"	"aama:pos"	"aama:verb"
"aama:ID74d52928-bdc4-4110-930f-484d4799067b"	"aama:rootClass"	"aama:ACC"
"aama:ID75644cab-f112-4b09-b791-8d7bd6c14125"	"a"	"aama:lexid"
"aama:ID75644cab-f112-4b09-b791-8d7bd6c14125"	"aama:gloss"	"choose"
"aama:ID75644cab-f112-4b09-b791-8d7bd6c14125"	"aama:lang"	"aama:hebrew"
"aama:ID75644cab-f112-4b09-b791-8d7bd6c14125"	"aama:lemma"	"bḥr"
"aama:ID75644cab-f112-4b09-b791-8d7bd6c14125"	"aama:lexlabel"	"bhr"
"aama:ID75644cab-f112-4b09-b791-8d7bd6c14125"	"aama:pos"	"aama:verb"
"aama:ID75644cab-f112-4b09-b791-8d7bd6c14125"	"aama:rootClass"	"aama:ChC"
"aama:ID86df35d3-00bf-419b-9a54-d30c5bd98379"	"a"	"aama:lexid"
"aama:ID86df35d3-00bf-419b-9a54-d30c5bd98379"	"aama:gloss"	"refuse"
"aama:ID86df35d3-00bf-419b-9a54-d30c5bd98379"	"aama:lang"	"aama:hebrew"
"aama:ID86df35d3-00bf-419b-9a54-d30c5bd98379"	"aama:lemma"	"mʔn"
"aama:ID86df35d3-00bf-419b-9a54-d30c5bd98379"	"aama:lexlabel"	"m'n"
"aama:ID86df35d3-00bf-419b-9a54-d30c5bd98379"	"aama:pos"	"aama:verb"
"aama:ID86df35d3-00bf-419b-9a54-d30c5bd98379"	"aama:rootClass"	"aama:CAC"
"aama:ID98ca1e52-4a08-4b97-9671-b1f0816d00c5"	"a"	"aama:lexid"
"aama:ID98ca1e52-4a08-4b97-9671-b1f0816d00c5"	"aama:gloss"	"give"
"aama:ID98ca1e52-4a08-4b97-9671-b1f0816d00c5"	"aama:lang"	"aama:hebrew"
"aama:ID98ca1e52-4a08-4b97-9671-b1f0816d00c5"	"aama:lemma"	"ntn"
"aama:ID98ca1e52-4a08-4b97-9671-b1f0816d00c5"	"aama:lexlabel"	"ntn"
"aama:ID98ca1e52-4a08-4b97-9671-b1f0816d00c5"	"aama:pos"	"aama:verb"
"aama:ID98ca1e52-4a08-4b97-9671-b1f0816d00c5"	"aama:rootClass"	"aama:nCC"
"aama:ID9b23729b-1608-46a3-b811-ad55e6328133"	"a"	"aama:lexid"
"aama:ID9b23729b-1608-46a3-b811-ad55e6328133"	"aama:gloss"	"be diminished"
"aama:ID9b23729b-1608-46a3-b811-ad55e6328133"	"aama:lang"	"aama:hebrew"
"aama:ID9b23729b-1608-46a3-b811-ad55e6328133"	"aama:lemma"	"qll"
"aama:ID9b23729b-1608-46a3-b811-ad55e6328133"	"aama:lexlabel"	"qll"
"aama:ID9b23729b-1608-46a3-b811-ad55e6328133"	"aama:pos"	"aama:verb"
"aama:ID9b23729b-1608-46a3-b811-ad55e6328133"	"aama:rootClass"	"aama:C1C2C2"
"aama:IDa1d200f3-0a5a-41fa-808c-084a29b9f713"	"a"	"aama:lexid"
"aama:IDa1d200f3-0a5a-41fa-808c-084a29b9f713"	"aama:ablautClass"	"aama:e-a"
"aama:IDa1d200f3-0a5a-41fa-808c-084a29b9f713"	"aama:gloss"	"honor"
"aama:IDa1d200f3-0a5a-41fa-808c-084a29b9f713"	"aama:lang"	"aama:hebrew"
"aama:IDa1d200f3-0a5a-41fa-808c-084a29b9f713"	"aama:lemma"	"kbd"
"aama:IDa1d200f3-0a5a-41fa-808c-084a29b9f713"	"aama:lexlabel"	"kbd"
"aama:IDa1d200f3-0a5a-41fa-808c-084a29b9f713"	"aama:rootClass"	"aama:CCC"
"aama:IDae8813a0-2155-486b-9f8f-82d02645028c"	"a"	"aama:lexid"
"aama:IDae8813a0-2155-486b-9f8f-82d02645028c"	"aama:gloss"	"build"
"aama:IDae8813a0-2155-486b-9f8f-82d02645028c"	"aama:lang"	"aama:hebrew"
"aama:IDae8813a0-2155-486b-9f8f-82d02645028c"	"aama:lemma"	"bny"
"aama:IDae8813a0-2155-486b-9f8f-82d02645028c"	"aama:lexlabel"	"bny"
"aama:IDae8813a0-2155-486b-9f8f-82d02645028c"	"aama:pos"	"aama:verb"
"aama:IDae8813a0-2155-486b-9f8f-82d02645028c"	"aama:rootClass"	"aama:CCy"
"aama:IDd8e60557-fed2-4e2b-bbf5-25cb5275762f"	"a"	"aama:lexid"
"aama:IDd8e60557-fed2-4e2b-bbf5-25cb5275762f"	"aama:gloss"	"come"
"aama:IDd8e60557-fed2-4e2b-bbf5-25cb5275762f"	"aama:lang"	"aama:hebrew"
"aama:IDd8e60557-fed2-4e2b-bbf5-25cb5275762f"	"aama:lemma"	"mṣʔ"
"aama:IDd8e60557-fed2-4e2b-bbf5-25cb5275762f"	"aama:lexlabel"	"ms'"
"aama:IDd8e60557-fed2-4e2b-bbf5-25cb5275762f"	"aama:pos"	"aama:verb"
"aama:IDd8e60557-fed2-4e2b-bbf5-25cb5275762f"	"aama:rootClass"	"aama:CCA"
"aama:IDd8f78b3d-e85b-4d7e-a340-466963737935"	"a"	"aama:lexid"
"aama:IDd8f78b3d-e85b-4d7e-a340-466963737935"	"aama:gloss"	"stand"
"aama:IDd8f78b3d-e85b-4d7e-a340-466963737935"	"aama:lang"	"aama:hebrew"
"aama:IDd8f78b3d-e85b-4d7e-a340-466963737935"	"aama:lemma"	"qwm"
"aama:IDd8f78b3d-e85b-4d7e-a340-466963737935"	"aama:lexlabel"	"qwm"
"aama:IDd8f78b3d-e85b-4d7e-a340-466963737935"	"aama:pos"	"aama:verb"
"aama:IDd8f78b3d-e85b-4d7e-a340-466963737935"	"aama:rootClass"	"aama:CwC"
"aama:IDfb523e3a-6ecb-4c5a-a41f-d01d9f41f093"	"a"	"aama:lexid"
"aama:IDfb523e3a-6ecb-4c5a-a41f-d01d9f41f093"	"aama:ablautClass"	"aama:a-o"
"aama:IDfb523e3a-6ecb-4c5a-a41f-d01d9f41f093"	"aama:gloss"	"write"
"aama:IDfb523e3a-6ecb-4c5a-a41f-d01d9f41f093"	"aama:lang"	"aama:hebrew"
"aama:IDfb523e3a-6ecb-4c5a-a41f-d01d9f41f093"	"aama:lemma"	"ktb"
"aama:IDfb523e3a-6ecb-4c5a-a41f-d01d9f41f093"	"aama:lexlabel"	"ktb"
"aama:IDfb523e3a-6ecb-4c5a-a41f-d01d9f41f093"	"aama:pos"	"aama:verb"
"aama:IDfb523e3a-6ecb-4c5a-a41f-d01d9f41f093"	"aama:rootClass"	"aama:CCC"
