?lang	?langVar	?property	?value
"hadiyya"		"dervStem"	"passive"
"hadiyya"		"dervStem"	"passiveBenefactive"
"hadiyya"		"dervStem"	"passiveCausative"
"hadiyya"		"gender"	"f"
"hadiyya"		"gender"	"m"
"hadiyya"		"gender"	"polite"
"hadiyya"		"gender"	"⊤"
"hadiyya"		"interrClass"	"how"
"hadiyya"		"interrClass"	"how_many"
"hadiyya"		"interrClass"	"what"
"hadiyya"		"interrClass"	"where"
"hadiyya"		"interrClass"	"who"
"hadiyya"		"lang"	"hadiyya"
"hadiyya"		"ns#type"	"Term"
"hadiyya"		"ns#type"	"lexid"
"hadiyya"		"number"	"pl"
"hadiyya"		"number"	"sg"
"hadiyya"		"numgen"	"pl"
"hadiyya"		"numgen"	"sg"
"hadiyya"		"person"	"p1"
"hadiyya"		"person"	"p2"
"hadiyya"		"person"	"p3"
"hadiyya"		"polarity"	"affirmative"
"hadiyya"		"polarity"	"interrogative"
"hadiyya"		"polarity"	"negative"
"hadiyya"		"pos"	"pronoun"
"hadiyya"		"pos"	"verb"
"hadiyya"		"proClass"	"demonstrative"
"hadiyya"		"proClass"	"independent"
"hadiyya"		"proClass"	"interrogative"
"hadiyya"		"proClass"	"personal"
"hadiyya"		"tam"	"imperative"
"hadiyya"		"tam"	"imperfect"
"hadiyya"		"tam"	"jussive"
"hadiyya"		"tam"	"pastPerfect"
"hadiyya"		"tam"	"pastProgressive"
"hadiyya"		"tam"	"presentPerfect"
"hadiyya"		"tam"	"presentProgressive"
"hadiyya"		"tam"	"simplePerfect"
"hadiyya"		"verbMorphClass"	"dervStem"
"hadiyya"		"verbMorphClass"	"subjMarkerTemplates"
"hebrew"		"ablautClass"	""
"hebrew"		"ablautClass"	"a"
"hebrew"		"ablautClass"	"a-a"
"hebrew"		"ablautClass"	"a-e"
"hebrew"		"ablautClass"	"a-o"
"hebrew"		"ablautClass"	"e-a"
"hebrew"		"ablautClass"	"⊤"
"hebrew"		"case"	"accusative"
"hebrew"		"case"	"dative"
"hebrew"		"case"	"nominative"
"hebrew"		"case"	"object"
"hebrew"		"deixis"	"far"
"hebrew"		"deixis"	"near"
"hebrew"		"dervStem"	"B"
"hebrew"		"dervStem"	"D"
"hebrew"		"dervStem"	"D-polel"
"hebrew"		"dervStem"	"Du"
"hebrew"		"dervStem"	"N"
"hebrew"		"dervStem"	"Polal"
"hebrew"		"dervStem"	"Polel"
"hebrew"		"dervStem"	"S"
"hebrew"		"dervStem"	"S2t"
"hebrew"		"dervStem"	"St"
"hebrew"		"dervStem"	"Su"
"hebrew"		"gender"	"f"
"hebrew"		"gender"	"m"
"hebrew"		"gender"	"⊤"
"hebrew"		"lang"	"hebrew"
"hebrew"		"ns#type"	"Term"
"hebrew"		"ns#type"	"lexid"
"hebrew"		"numHead"	"pl"
"hebrew"		"numHead"	"sg"
"hebrew"		"number"	"pl"
"hebrew"		"number"	"sg"
"hebrew"		"person"	"p1"
"hebrew"		"person"	"p2"
"hebrew"		"person"	"p3"
"hebrew"		"pos"	"pronoun"
"hebrew"		"pos"	"verb"
"hebrew"		"proClass"	"demonstrative"
"hebrew"		"proClass"	"independent"
"hebrew"		"proClass"	"lamedSuff"
"hebrew"		"proClass"	"objClitic"
"hebrew"		"proClass"	"objCliticPerf"
"hebrew"		"rootClass"	"ACC"
"hebrew"		"rootClass"	"C1C2C2"
"hebrew"		"rootClass"	"CAC"
"hebrew"		"rootClass"	"CCA"
"hebrew"		"rootClass"	"CCC"
"hebrew"		"rootClass"	"CCh"
"hebrew"		"rootClass"	"CCy"
"hebrew"		"rootClass"	"ChC"
"hebrew"		"rootClass"	"CwC"
"hebrew"		"rootClass"	"CyC"
"hebrew"		"rootClass"	"hCC"
"hebrew"		"rootClass"	"nCC"
"hebrew"		"rootClass"	"wCC"
"hebrew"		"rootClass"	"yCC"
"hebrew"		"tam"	"imperative"
"hebrew"		"tam"	"imperfect"
"hebrew"		"tam"	"jussive"
"hebrew"		"tam"	"perfect"
"hebrew"		"tenseHead"	"imperfect"
"hebrew"		"tenseHead"	"jussive"
"hebrew"		"tenseHead"	"perfect"
"hebrew"		"verbMorphClass"	"dervStem"
"hebrew"		"verbMorphClass"	"subjMarker"
"iraqw"		"cat"	"case"
"iraqw"		"conjClass"	"cc2a"
"iraqw"		"conjClass"	"cc2b"
"iraqw"		"conjClass"	"cc3a"
"iraqw"		"conjClass"	"cc3b"
"iraqw"		"conjClass"	"cc3c"
"iraqw"		"conjClass"	"cc3d"
"iraqw"		"conjClass"	"cc3e"
"iraqw"		"conjClass"	"conj1"
"iraqw"		"conjClass"	"conj2"
"iraqw"		"conjClass"	"conj2a"
"iraqw"		"conjClass"	"conj2b"
"iraqw"		"conjClass"	"conj3"
"iraqw"		"conjClass"	"conj3a"
"iraqw"		"conjClass"	"conj3b"
"iraqw"		"conjClass"	"conj3c"
"iraqw"		"conjClass"	"conj3d"
"iraqw"		"conjClass"	"conj3e"
"iraqw"		"conjClass"	"irreg"
"iraqw"		"conjClass"	"p1"
"iraqw"		"conjClass"	"p2"
"iraqw"		"deixis"	"far"
"iraqw"		"deixis"	"midway"
"iraqw"		"deixis"	"near1"
"iraqw"		"deixis"	"near2"
"iraqw"		"dervStem"	"causative"
"iraqw"		"dervStem"	"durative"
"iraqw"		"dervStem"	"factitive1"
"iraqw"		"dervStem"	"factitive2"
"iraqw"		"dervStem"	"habitual"
"iraqw"		"dervStem"	"inchoative"
"iraqw"		"dervStem"	"middle"
"iraqw"		"dervStem"	"verbaliser"
"iraqw"		"form"	"full"
"iraqw"		"form"	"short"
"iraqw"		"gender"	"f"
"iraqw"		"gender"	"m"
"iraqw"		"gender"	"⊤"
"iraqw"		"headGen"	"f"
"iraqw"		"headGen"	"m"
"iraqw"		"imperativeClass"	"base"
"iraqw"		"imperativeClass"	"hither"
"iraqw"		"imperativeClass"	"hitherObj"
"iraqw"		"imperativeClass"	"object"
"iraqw"		"lang"	"iraqw"
"iraqw"		"mood"	"Q"
"iraqw"		"mood"	"indicative"
"iraqw"		"mood"	"subjunctive"
"iraqw"		"ns#type"	"Term"
"iraqw"		"ns#type"	"lexid"
"iraqw"		"numHead"	"pl"
"iraqw"		"numHead"	"sg"
"iraqw"		"numObj"	"pl"
"iraqw"		"numObj"	"sg"
"iraqw"		"numObj"	"⊤"
"iraqw"		"numSubj"	"pl"
"iraqw"		"numSubj"	"sg"
"iraqw"		"numSubj"	"⊤"
"iraqw"		"number"	"pl"
"iraqw"		"number"	"sg"
"iraqw"		"number"	"⊤"
"iraqw"		"pdgmLexLabel"	"kah"
"iraqw"		"persObj"	"p1"
"iraqw"		"persObj"	"p2"
"iraqw"		"persObj"	"p3"
"iraqw"		"persObj"	"reciprocal"
"iraqw"		"persObj"	"⊤"
"iraqw"		"persSubj"	"impersonal"
"iraqw"		"persSubj"	"p1"
"iraqw"		"persSubj"	"p2"
"iraqw"		"persSubj"	"p3"
"iraqw"		"persSubj"	"reciprocal"
"iraqw"		"persSubj"	"⊤"
"iraqw"		"person"	"p1"
"iraqw"		"person"	"p2"
"iraqw"		"person"	"p3"
"iraqw"		"person"	"⊤"
"iraqw"		"polarity"	"affirmative"
"iraqw"		"polarity"	"negative"
"iraqw"		"polarity"	"subordiate"
"iraqw"		"pos"	"pronoun"
"iraqw"		"pos"	"verb"
"iraqw"		"posHead"	"noun"
"iraqw"		"posHead"	"pro"
"iraqw"		"posHead"	"⊤"
"iraqw"		"proClass"	"independent"
"iraqw"		"proClass"	"object"
"iraqw"		"proClass"	"pers_dem"
"iraqw"		"proClass"	"possessive"
"iraqw"		"selBE"	"copula"
"iraqw"		"selBE"	"dependent"
"iraqw"		"selBE"	"hither"
"iraqw"		"selBE"	"independent"
"iraqw"		"selBE"	"locative"
"iraqw"		"selBE"	"objRel"
"iraqw"		"selBE"	"subjRel"
"iraqw"		"selBE"	"⊤"
"iraqw"		"selCat"	"background"
"iraqw"		"selCat"	"concessive"
"iraqw"		"selCat"	"conditional"
"iraqw"		"selCat"	"consecutive"
"iraqw"		"selCat"	"consecutive2"
"iraqw"		"selCat"	"directive"
"iraqw"		"selCat"	"expectational"
"iraqw"		"selCat"	"instrumental"
"iraqw"		"selCat"	"interrogative"
"iraqw"		"selCat"	"past"
"iraqw"		"selCat"	"perfect"
"iraqw"		"selCat"	"prohibitive"
"iraqw"		"selCat"	"reason"
"iraqw"		"selCat"	"⊤"
"iraqw"		"selClass"	"case"
"iraqw"		"selClass"	"selBE"
"iraqw"		"selClass"	"selMood"
"iraqw"		"selClass"	"selTense"
"iraqw"		"selMood"	"concessive"
"iraqw"		"selMood"	"conditional"
"iraqw"		"selMood"	"⊤"
"iraqw"		"selTense"	"background"
"iraqw"		"selTense"	"consecutive"
"iraqw"		"selTense"	"consecutive2"
"iraqw"		"selTense"	"expectational"
"iraqw"		"selTense"	"past"
"iraqw"		"selTense"	"perfect"
"iraqw"		"selTense"	"⊤"
"iraqw"		"tam"	"imperative"
"iraqw"		"tam"	"past"
"iraqw"		"tam"	"pastQ"
"iraqw"		"tam"	"present"
"iraqw"		"tam"	"presentQ"
"iraqw"		"tam"	"relativePast"
"iraqw"		"tam"	"relativePresent"
"iraqw"		"verbMorphClass"	"dervStemSuff"
"iraqw"		"verbMorphClass"	"infinitive"
"iraqw"		"verbMorphClass"	"participle"
"iraqw"		"verbMorphClass"	"selBE"
"iraqw"		"verbMorphClass"	"selBEImpersHit"
"iraqw"		"verbMorphClass"	"selBENom"
"iraqw"		"verbMorphClass"	"selBEObj"
"iraqw"		"verbMorphClass"	"selBEVerb"
"iraqw"		"verbMorphClass"	"selector"
"iraqw"		"verbMorphClass"	"selectorForms"
"iraqw"		"verbMorphClass"	"selectorForms2"
"iraqw"		"verbMorphClass"	"stemFormation"
"iraqw"		"verbMorphClass"	"subjMarker"
"iraqw"		"verbMorphClass"	"tenseFormation"
"iraqw"		"verbMorphClass"	"tenseFormation1"
"iraqw"		"verbMorphClass"	"tenseFormation2"
"kambaata"		"case"	"accusative"
"kambaata"		"case"	"nominative"
"kambaata"		"case"	"possessive"
"kambaata"		"deixis"	"far"
"kambaata"		"deixis"	"near"
"kambaata"		"dervStem"	"benefactive"
"kambaata"		"dervStem"	"causative2"
"kambaata"		"dervStem"	"combination"
"kambaata"		"dervStem"	"passive"
"kambaata"		"dervStem"	"reduplicated"
"kambaata"		"gender"	"f"
"kambaata"		"gender"	"m"
"kambaata"		"gender"	"p"
"kambaata"		"gender"	"polite"
"kambaata"		"gender"	"⊤"
"kambaata"		"interrClass"	"how"
"kambaata"		"interrClass"	"how_many"
"kambaata"		"interrClass"	"what"
"kambaata"		"interrClass"	"when"
"kambaata"		"interrClass"	"where"
"kambaata"		"interrClass"	"who"
"kambaata"		"lang"	"kambaata"
"kambaata"		"ns#type"	"Term"
"kambaata"		"ns#type"	"lexid"
"kambaata"		"number"	"pl"
"kambaata"		"number"	"sg"
"kambaata"		"person"	"p1"
"kambaata"		"person"	"p2"
"kambaata"		"person"	"p3"
"kambaata"		"polarity"	"affirmative"
"kambaata"		"polarity"	"negative"
"kambaata"		"pos"	"pronoun"
"kambaata"		"pos"	"verb"
"kambaata"		"proClass"	"demonstrative"
"kambaata"		"proClass"	"independent"
"kambaata"		"proClass"	"interrogative"
"kambaata"		"proClass"	"suffix"
"kambaata"		"tam"	"imperative"
"kambaata"		"tam"	"imperfect"
"kambaata"		"tam"	"jussive"
"kambaata"		"tam"	"pastProgressive"
"kambaata"		"tam"	"presentPerfect"
"kambaata"		"tam"	"presentProgressive"
"kambaata"		"tam"	"simplePerf"
"kambaata"		"tam"	"simplePerfect"
"kambaata"		"verbMorphClass"	"dervStem"
"kambaata"		"verbMorphClass"	"subjMarkerTemplates"
"kemant"		"aspect"	"imperfective"
"kemant"		"aspect"	"perfective"
"kemant"		"dervStem"	"M"
"kemant"		"dervStem"	"S"
"kemant"		"dervStem"	"reciprocal"
"kemant"		"finiteForm"	"agentNoun"
"kemant"		"finiteForm"	"infinitive"
"kemant"		"gender"	"f"
"kemant"		"gender"	"m"
"kemant"		"gender"	"⊤"
"kemant"		"genderHeadRel"	"f"
"kemant"		"genderHeadRel"	"m"
"kemant"		"genderHeadRel"	"⊤"
"kemant"		"lang"	"bilin"
"kemant"		"lang"	"kemant"
"kemant"		"nounClass"	"cardinalNumeral"
"kemant"		"ns#type"	"Term"
"kemant"		"ns#type"	"lexid"
"kemant"		"numHeadRel"	"pl"
"kemant"		"numHeadRel"	"sg"
"kemant"		"number"	"pl"
"kemant"		"number"	"sg"
"kemant"		"pdgmSubType"	"copula"
"kemant"		"pdgmSubType"	"dervStem"
"kemant"		"pdgmSubType"	"finiteVerb"
"kemant"		"pdgmSubType"	"interrogative"
"kemant"		"pdgmSubType"	"subjMarker"
"kemant"		"pdgmType"	"comparative"
"kemant"		"pdgmType"	"exemplary"
"kemant"		"person"	"p1"
"kemant"		"person"	"p2"
"kemant"		"person"	"p3"
"kemant"		"polarity"	"affirmative"
"kemant"		"polarity"	"negative"
"kemant"		"pos"	"noun"
"kemant"		"pos"	"pronoun"
"kemant"		"pos"	"verb"
"kemant"		"proClass"	"independent"
"kemant"		"proSet"	"proSetA"
"kemant"		"proSet"	"proSetB"
"kemant"		"tam"	"a-subordinate"
"kemant"		"tam"	"compSubordinate"
"kemant"		"tam"	"d-subordinate"
"kemant"		"tam"	"gerund"
"kemant"		"tam"	"imperative"
"kemant"		"tam"	"imperfective"
"kemant"		"tam"	"jussive"
"kemant"		"tam"	"jussive2"
"kemant"		"tam"	"n-subordinate"
"kemant"		"tam"	"perfective"
"kemant"		"tam"	"perfectiveComp"
"kemant"		"tam"	"relativeOblique"
"kemant"		"tam"	"relativeSubject"
"kemant"		"tokenType"	"affix"
"kemant"		"vSubjSet"	"vSubjSetA"
"kemant"		"vSubjSet"	"vSubjSetB"
"khamtanga"		"case"	"absolutive"
"khamtanga"		"case"	"comitative"
"khamtanga"		"case"	"compound"
"khamtanga"		"case"	"locative"
"khamtanga"		"case"	"object"
"khamtanga"		"case"	"oblique-posessive"
"khamtanga"		"case"	"possessive"
"khamtanga"		"case"	"relative"
"khamtanga"		"case"	"subject"
"khamtanga"		"clauseType"	"main"
"khamtanga"		"clauseType"	"relOblique"
"khamtanga"		"clauseType"	"relSubj"
"khamtanga"		"clauseType"	"subAdv"
"khamtanga"		"conjClass"	"conjugation1"
"khamtanga"		"conjClass"	"conjugation2"
"khamtanga"		"conjClass"	"conjugation3"
"khamtanga"		"conjClass"	"conjugation4"
"khamtanga"		"conjClass"	"conjugation5a"
"khamtanga"		"conjClass"	"conjugation5b"
"khamtanga"		"defClass"	"definite"
"khamtanga"		"defClass"	"indefinite"
"khamtanga"		"defClass"	"⊤"
"khamtanga"		"deixis"	"far"
"khamtanga"		"deixis"	"near"
"khamtanga"		"gender"	"f"
"khamtanga"		"gender"	"m"
"khamtanga"		"gender"	"polite"
"khamtanga"		"gender"	"⊤"
"khamtanga"		"genderHead"	"f"
"khamtanga"		"genderHead"	"m"
"khamtanga"		"genderHead"	"⊤"
"khamtanga"		"genderPoss"	"f"
"khamtanga"		"genderPoss"	"m"
"khamtanga"		"genderPoss"	"⊤"
"khamtanga"		"lang"	"khamtanga"
"khamtanga"		"nonFiniteForm"	"action"
"khamtanga"		"nonFiniteForm"	"agent"
"khamtanga"		"nonFiniteForm"	"instrumental"
"khamtanga"		"nounMorphClass"	"case"
"khamtanga"		"nounMorphClass"	"gender"
"khamtanga"		"nounMorphClass"	"number"
"khamtanga"		"nounMorphClass"	"numeral"
"khamtanga"		"ns#type"	"Term"
"khamtanga"		"ns#type"	"lexid"
"khamtanga"		"numClass"	"cardinal"
"khamtanga"		"numClass"	"ordinal"
"khamtanga"		"numHead"	"pl"
"khamtanga"		"numHead"	"sg"
"khamtanga"		"number"	"pl"
"khamtanga"		"number"	"sg"
"khamtanga"		"pdgmType"	"exemplary"
"khamtanga"		"person"	"p1"
"khamtanga"		"person"	"p2"
"khamtanga"		"person"	"p3"
"khamtanga"		"person"	"⊤"
"khamtanga"		"pluralClass"	"a-deletion"
"khamtanga"		"pluralClass"	"alternate"
"khamtanga"		"pluralClass"	"c-ablaut"
"khamtanga"		"pluralClass"	"gemination"
"khamtanga"		"pluralClass"	"suffix"
"khamtanga"		"pluralClass"	"suffixation"
"khamtanga"		"polarity"	"affirmative"
"khamtanga"		"polarity"	"negative"
"khamtanga"		"pos"	"adjective"
"khamtanga"		"pos"	"adverb"
"khamtanga"		"pos"	"noun"
"khamtanga"		"pos"	"pronoun"
"khamtanga"		"pos"	"verb"
"khamtanga"		"proClass"	"demonstrative"
"khamtanga"		"proClass"	"independent1"
"khamtanga"		"proClass"	"independent2"
"khamtanga"		"proClass"	"interrogative"
"khamtanga"		"stemClass"	"consonant"
"khamtanga"		"stemClass"	"kinship"
"khamtanga"		"stemClass"	"vowel"
"khamtanga"		"stemClass"	"⊤"
"khamtanga"		"tam"	"causal"
"khamtanga"		"tam"	"coTemporal"
"khamtanga"		"tam"	"compPastGer"
"khamtanga"		"tam"	"comparative"
"khamtanga"		"tam"	"conditional1"
"khamtanga"		"tam"	"conditional2"
"khamtanga"		"tam"	"conditional3"
"khamtanga"		"tam"	"consecutive"
"khamtanga"		"tam"	"future"
"khamtanga"		"tam"	"general"
"khamtanga"		"tam"	"gerund"
"khamtanga"		"tam"	"imperative"
"khamtanga"		"tam"	"jussive"
"khamtanga"		"tam"	"past"
"khamtanga"		"tam"	"pastTemporal"
"khamtanga"		"tam"	"present"
"khamtanga"		"tam"	"presentFuture"
"khamtanga"		"tam"	"presentInterrog"
"khamtanga"		"tam"	"purposive"
"khamtanga"		"tam"	"purposive2"
"khamtanga"		"tam"	"temporal"
"khamtanga"		"verbMorphClass"	"copulaExist"
"khamtanga"		"verbMorphClass"	"verbalNoun"
"koorete"		"case"	"ablative"
"koorete"		"case"	"absolutive"
"koorete"		"case"	"dative"
"koorete"		"case"	"instrumental"
"koorete"		"case"	"nominative"
"koorete"		"case"	"possessive"
"koorete"		"case"	"⊤"
"koorete"		"conjClass"	"conj1"
"koorete"		"conjClass"	"conj2"
"koorete"		"deixis"	"aboveSpeaker"
"koorete"		"deixis"	"belowSpeaker"
"koorete"		"deixis"	"farDist"
"koorete"		"deixis"	"farMid"
"koorete"		"deixis"	"nearSpeaker"
"koorete"		"dervStem"	"causative"
"koorete"		"dervStem"	"inchoative"
"koorete"		"dervStem"	"passive"
"koorete"		"dervStem"	"reciprocal"
"koorete"		"focus"	"declarative"
"koorete"		"focus"	"interrogative"
"koorete"		"focus"	"non-focus"
"koorete"		"gender"	"f"
"koorete"		"gender"	"m"
"koorete"		"gender"	"⊤"
"koorete"		"lang"	"koorete"
"koorete"		"ns#type"	"Term"
"koorete"		"ns#type"	"lexid"
"koorete"		"number"	"pl"
"koorete"		"number"	"plEx"
"koorete"		"number"	"plIn"
"koorete"		"number"	"sg"
"koorete"		"pdgmClass"	"pClass1"
"koorete"		"pdgmClass"	"pClass2"
"koorete"		"person"	"p1"
"koorete"		"person"	"p2"
"koorete"		"person"	"p3"
"koorete"		"polarity"	"affirmative"
"koorete"		"polarity"	"negative"
"koorete"		"pos"	"pronoun"
"koorete"		"pos"	"verb"
"koorete"		"proClass"	"demPro"
"koorete"		"proClass"	"demonstrative"
"koorete"		"proClass"	"interrogative"
"koorete"		"proClass"	"proInd"
"koorete"		"proClass"	"vocative"
"koorete"		"tam"	"imperativeOptative"
"koorete"		"tam"	"pastHabitual"
"koorete"		"tam"	"pastPerfective"
"koorete"		"tam"	"pastProgressive"
"koorete"		"tam"	"presentHabitual"
"koorete"		"tam"	"presentPerfect"
"koorete"		"tam"	"presentPerfective"
"koorete"		"tam"	"presentProgressive"
"koorete"		"verbMorphClass"	"dervStem"
"maale"		"aspect"	"imperfective"
"maale"		"aspect"	"imperfectiveFuture"
"maale"		"aspect"	"imperfectivePresent"
"maale"		"aspect"	"interrPerm"
"maale"		"aspect"	"perfective"
"maale"		"aspect"	"⊤"
"maale"		"case"	"ablative"
"maale"		"case"	"absolutive"
"maale"		"case"	"dative"
"maale"		"case"	"instrumental"
"maale"		"case"	"nominative"
"maale"		"case"	"possessive"
"maale"		"case"	"⊤"
"maale"		"clauseType"	"causal"
"maale"		"clauseType"	"conditional"
"maale"		"clauseType"	"converb1"
"maale"		"clauseType"	"converb2"
"maale"		"clauseType"	"converb3"
"maale"		"clauseType"	"declarative"
"maale"		"clauseType"	"imperative"
"maale"		"clauseType"	"interrDubitative"
"maale"		"clauseType"	"interrNonPolar"
"maale"		"clauseType"	"interrPolar"
"maale"		"clauseType"	"optative"
"maale"		"clauseType"	"preventive"
"maale"		"clauseType"	"purposive1"
"maale"		"clauseType"	"purposive2"
"maale"		"clauseType"	"simultaneous"
"maale"		"clauseType"	"temporal1"
"maale"		"clauseType"	"temporal2"
"maale"		"clauseType"	"⊤"
"maale"		"dervStem"	"causative"
"maale"		"dervStem"	"causative2"
"maale"		"dervStem"	"denominal"
"maale"		"dervStem"	"inchoative"
"maale"		"dervStem"	"intensive"
"maale"		"dervStem"	"passive"
"maale"		"dervStem"	"passiveCausative"
"maale"		"dervStem"	"reflexive"
"maale"		"gender"	"f"
"maale"		"gender"	"m"
"maale"		"gender"	"⊤"
"maale"		"lang"	"maale"
"maale"		"modal"	"mirative"
"maale"		"modal"	"newInfo"
"maale"		"modal"	"nonVerbal"
"maale"		"modal"	"perfective"
"maale"		"modal"	"veridical"
"maale"		"modal"	"⊤"
"maale"		"ns#type"	"Term"
"maale"		"ns#type"	"lexid"
"maale"		"number"	"pl"
"maale"		"number"	"sg"
"maale"		"number"	"⊤"
"maale"		"person"	"p1"
"maale"		"person"	"p2"
"maale"		"person"	"p3"
"maale"		"person"	"p3Ref"
"maale"		"person"	"⊤"
"maale"		"polarity"	"affirmative"
"maale"		"polarity"	"negative"
"maale"		"pos"	"pronoun"
"maale"		"pos"	"verb"
"maale"		"possType"	"poss1"
"maale"		"possType"	"poss2"
"maale"		"possType"	"possNom1"
"maale"		"possType"	"possNom2"
"maale"		"proClass"	"basicPro"
"maale"		"proClass"	"caseMarking"
"maale"		"proClass"	"possessive"
"maale"		"proClass"	"pro2ary"
"maale"		"proClass"	"proInd"
"maale"		"proClass"	"restrictive"
"maale"		"rootStructure"	"group1"
"maale"		"rootStructure"	"group2"
"maale"		"verbMorphClass"	"BE"
"maale"		"verbMorphClass"	"dervStem"
"maale"		"verbMorphClass"	"inflectionTemplate"
"maale"		"verbMorphClass"	"rootStructure"
"oromo"		"case"	"absolutive"
"oromo"		"case"	"possessive"
"oromo"		"case"	"subject"
"oromo"		"clauseType"	"main"
"oromo"		"clauseType"	"subordinate"
"oromo"		"copType"	"existence"
"oromo"		"copType"	"occurrence"
"oromo"		"copType"	"predication"
"oromo"		"dervStem"	"M"
"oromo"		"dervStem"	"S"
"oromo"		"dervStem"	"T"
"oromo"		"dervStem"	"base"
"oromo"		"gender"	"f"
"oromo"		"gender"	"m"
"oromo"		"gender"	"⊤"
"oromo"		"lang"	"oromo"
"oromo"		"nonFiniteForm"	"agent"
"oromo"		"nonFiniteForm"	"gerund"
"oromo"		"nonFiniteForm"	"infinitive"
"oromo"		"nonFiniteForm"	"nonFinite"
"oromo"		"ns#type"	"Term"
"oromo"		"ns#type"	"lexid"
"oromo"		"number"	"pl"
"oromo"		"number"	"sg"
"oromo"		"pdgmSubType"	"copula"
"oromo"		"person"	"p1"
"oromo"		"person"	"p2"
"oromo"		"person"	"p3"
"oromo"		"polarity"	"affirmative"
"oromo"		"polarity"	"negative"
"oromo"		"polarity"	"⊤"
"oromo"		"pos"	"pronoun"
"oromo"		"pos"	"verb"
"oromo"		"proClass"	"independent"
"oromo"		"proClass"	"proSuff"
"oromo"		"tam"	"conditional"
"oromo"		"tam"	"futureDefinite"
"oromo"		"tam"	"futureIndefinite"
"oromo"		"tam"	"futurePerfect"
"oromo"		"tam"	"imperative"
"oromo"		"tam"	"jussive"
"oromo"		"tam"	"nonPast-nonPres"
"oromo"		"tam"	"past"
"oromo"		"tam"	"pastProgressive"
"oromo"		"tam"	"perfect"
"oromo"		"tam"	"pluperfect"
"oromo"		"tam"	"pluperfectProgressive"
"oromo"		"tam"	"present"
"oromo"		"tam"	"presentProgressive"
"oromo"		"tokenType"	"compound"
"rendille"		"case"	"long"
"rendille"		"case"	"object"
"rendille"		"case"	"objectIndirect"
"rendille"		"case"	"short"
"rendille"		"clauseType"	"main"
"rendille"		"clauseType"	"subordinate"
"rendille"		"cliticType"	"demonstrative"
"rendille"		"cliticType"	"indefinite"
"rendille"		"cliticType"	"interrogative"
"rendille"		"cliticType"	"relative"
"rendille"		"cohesion"	"exclusive"
"rendille"		"cohesion"	"inclusive"
"rendille"		"cohesion"	"⊤"
"rendille"		"conjClaspdgmLexs"	"suffix"
"rendille"		"conjClass"	"prefix"
"rendille"		"conjClass"	"stative"
"rendille"		"conjClass"	"suffix"
"rendille"		"conjSubType"	"irregular"
"rendille"		"deixis"	"far"
"rendille"		"deixis"	"medial"
"rendille"		"deixis"	"near"
"rendille"		"deixis"	"⊤"
"rendille"		"dervStem"	"S"
"rendille"		"dervStem"	"T"
"rendille"		"dervStem"	"base"
"rendille"		"dervStem"	"causative"
"rendille"		"dervStem"	"pass1"
"rendille"		"dervStem"	"pass2"
"rendille"		"focus"	"foc"
"rendille"		"focus"	"non-focus"
"rendille"		"gender"	"f"
"rendille"		"gender"	"m"
"rendille"		"gender"	"⊤"
"rendille"		"lang"	"rendille"
"rendille"		"ns#type"	"Term"
"rendille"		"ns#type"	"lexid"
"rendille"		"number"	"pl"
"rendille"		"number"	"sg"
"rendille"		"number"	"⊤"
"rendille"		"person"	"p1"
"rendille"		"person"	"p2"
"rendille"		"person"	"p3"
"rendille"		"person"	"⊤"
"rendille"		"polarity"	"affirmative"
"rendille"		"polarity"	"negative"
"rendille"		"pos"	"pronoun"
"rendille"		"pos"	"verb"
"rendille"		"proClass"	"clitic"
"rendille"		"proClass"	"independent"
"rendille"		"proClass"	"possessive"
"rendille"		"tam"	"concessive"
"rendille"		"tam"	"imperative"
"rendille"		"tam"	"imperfect"
"rendille"		"tam"	"optative"
"rendille"		"tam"	"perfect"
"saho"		"case"	"emphatic"
"saho"		"case"	"independent"
"saho"		"case"	"object"
"saho"		"case"	"objectIndirect"
"saho"		"case"	"possessive"
"saho"		"conjClass"	"irregular"
"saho"		"conjClass"	"pref-irreg"
"saho"		"conjClass"	"prefix"
"saho"		"conjClass"	"suffix"
"saho"		"conjClass"	"suffixIrregular"
"saho"		"dervStem"	"B"
"saho"		"dervStem"	"B-Intens"
"saho"		"dervStem"	"M"
"saho"		"dervStem"	"S1"
"saho"		"dervStem"	"S1-Intens"
"saho"		"dervStem"	"S1T"
"saho"		"dervStem"	"S2"
"saho"		"dervStem"	"T"
"saho"		"dervStem"	"T-Intens"
"saho"		"gender"	"f"
"saho"		"gender"	"m"
"saho"		"gender"	"⊤"
"saho"		"lang"	"saho"
"saho"		"nonFiniteForm"	"participle"
"saho"		"ns#type"	"Term"
"saho"		"ns#type"	"lexid"
"saho"		"number"	"pl"
"saho"		"number"	"sg"
"saho"		"number"	"⊤"
"saho"		"person"	"p1"
"saho"		"person"	"p2"
"saho"		"person"	"p3"
"saho"		"person"	"⊤"
"saho"		"polarity"	"affirmative"
"saho"		"polarity"	"negative"
"saho"		"pos"	"pronoun"
"saho"		"pos"	"verb"
"saho"		"proClass"	"independent"
"saho"		"tam"	"copula"
"saho"		"tam"	"imperative"
"saho"		"tam"	"imperfect"
"saho"		"tam"	"imperfectInni"
"saho"		"tam"	"imperfectLi"
"saho"		"tam"	"imperfectM"
"saho"		"tam"	"imperfectMa"
"saho"		"tam"	"jussive"
"saho"		"tam"	"jussiveKi"
