?lang-?langVar	?property	?value, ?value, ?value, ?value
beja-hadendowa	genderN1	f, m
beja-hadendowa	genderN2	f, m
beja-hadendowa	lang	beja
beja-hadendowa	langVar	arteiga, hadendowa
beja-hadendowa	lexlabel	bis, dif
beja-hadendowa	mood	imperative
beja-hadendowa	nomForm	gerund, nomAgent, nominalAction, nominalAgent, participle, perfectParticiple, presentParticitpl
beja-hadendowa	nonFiniteForm	gerund, nomAgent, nominalAction, nominalAgent, participle, perfectParticiple, presentParticiple
beja-hadendowa	nounMorphClass	genAdjPart, genBeforePossSuff, numOrd, numeral
beja-hadendowa	ns#type	Term, lexid
beja-hadendowa	numHead	pl, sg
beja-hadendowa	numN1	pl, sg
beja-hadendowa	numPoss	pl, sg
beja-hadendowa	number	pl, sg
beja-hadendowa	pdgmType	structure
beja-hadendowa	person	pl, sg
beja-hadendowa	polarity	U, aff, affirmative, negative, ⊤
beja-hadendowa	pos	noun, pro, pronoun, verb
beja-hadendowa	proClass	artDef, gen_PossPred, independent, interrogative, possInd, possSuff
beja-hadendowa	rootClass	CC, CCC
beja-hadendowa	tam	conditional, conditionalPerfect, conditionalPredicative, future, gerund, imperative, optative, past, pastContinuous, perfectPast, predicative, prefectPast, present, presentContinuous
beja-hadendowa	verbMorphClass	dervStemForm, formation, nomForm, subjMarker
